neighborhood_id,name,latitude,longitude,daily_orders
N001,Charminar / Old City,17.361564,78.474665,240
N002,Banjara Hills,17.415560,78.435740,185
N003,Jubilee Hills,17.431940,78.407470,210
N004,Hitec City,17.443500,78.377200,320
N005,Gachibowli,17.440080,78.348910,290
N006,Madhapur,17.448290,78.391490,260
N007,Secunderabad,17.439930,78.498270,170
N008,Kukatpally,17.494790,78.399640,225
N009,Begumpet,17.444060,78.465480,140
N010,Ameerpet,17.437460,78.448290,195
N011,Dilsukhnagar,17.368790,78.524670,205
N012,LB Nagar,17.345720,78.552220,160
N013,Mehdipatnam,17.391620,78.442030,175
N014,Kondapur,17.469900,78.357800,230
N015,Miyapur,17.496780,78.354720,150
N016,Uppal,17.405660,78.559090,135
N017,Tarnaka,17.428580,78.538160,110
N018,Attapur,17.368300,78.431200,125
N019,Manikonda,17.404280,78.389270,190
N020,Shamshabad,17.240260,78.429380,85
