neighborhood_id,name,latitude,longitude,daily_orders,zone
N0001,Downtown #1,17.50778,78.65737,177,Cluster-1
N0002,Market Central #2,17.222503,78.388608,51,Cluster-2
N0003,Tech Park #3,17.315005,78.609996,153,Cluster-3
N0004,Cyber City #4,17.23421,78.678871,82,Cluster-4
N0005,Financial District #5,17.163787,78.522961,186,Cluster-5
N0006,Old Quarter #6,17.577565,78.410286,46,Cluster-6
N0007,Harbor View #7,17.492397,78.676592,173,Cluster-1
N0008,Green Hills #8,17.232408,78.422934,39,Cluster-2
N0009,North Gateway #9,17.274932,78.634343,77,Cluster-3
N0010,South Port #10,17.232453,78.621472,80,Cluster-4
N0011,East End #11,17.284551,78.413142,34,Cluster-5
N0012,West Industrial #12,17.510328,78.375055,14,Cluster-6
N0013,Riverside #13,17.496094,78.746424,34,Cluster-1
N0014,Lakeview #14,17.222258,78.372946,142,Cluster-2
N0015,Metro Hub #15,17.286732,78.587973,24,Cluster-3
N0016,Airport Road #16,17.295467,78.660778,126,Cluster-4
N0017,Grand Square #17,17.217728,78.46926,171,Cluster-5
N0018,Innovation Zone #18,17.521188,78.354659,137,Cluster-6
N0019,Sunrise Colony #19,17.546388,78.655646,47,Cluster-1
N0020,Midtown #20,17.18847,78.384644,155,Cluster-2
N0021,Downtown #21,17.262118,78.636182,132,Cluster-3
N0022,Market Central #22,17.228239,78.64515,56,Cluster-4
N0023,Tech Park #23,17.211102,78.438177,23,Cluster-5
N0024,Cyber City #24,17.530954,78.405072,168,Cluster-6
N0025,Financial District #25,17.446752,78.661487,63,Cluster-1
N0026,Old Quarter #26,17.176193,78.366755,71,Cluster-2
N0027,Harbor View #27,17.21061,78.684127,36,Cluster-3
N0028,Green Hills #28,17.260615,78.640453,74,Cluster-4
N0029,North Gateway #29,17.251876,78.476603,119,Cluster-5
N0030,South Port #30,17.515903,78.382361,163,Cluster-6
N0031,East End #31,17.499368,78.73756,147,Cluster-1
N0032,West Industrial #32,17.24725,78.374508,144,Cluster-2
N0033,Riverside #33,17.243548,78.637801,94,Cluster-3
N0034,Lakeview #34,17.24969,78.639629,154,Cluster-4
N0035,Metro Hub #35,17.219602,78.522425,70,Cluster-5
N0036,Airport Road #36,17.581088,78.360746,132,Cluster-6
N0037,Grand Square #37,17.443063,78.671563,103,Cluster-1
N0038,Innovation Zone #38,17.152325,78.373629,82,Cluster-2
N0039,Sunrise Colony #39,17.275981,78.631178,18,Cluster-3
N0040,Midtown #40,17.288596,78.67203,112,Cluster-4
N0041,Downtown #41,17.258345,78.487208,98,Cluster-5
N0042,Market Central #42,17.569618,78.324292,107,Cluster-6
N0043,Tech Park #43,17.455174,78.638971,113,Cluster-1
N0044,Cyber City #44,17.216383,78.414745,44,Cluster-2
N0045,Financial District #45,17.242984,78.694853,152,Cluster-3
N0046,Old Quarter #46,17.234721,78.615866,152,Cluster-4
N0047,Harbor View #47,17.231534,78.505833,119,Cluster-5
N0048,Green Hills #48,17.515103,78.451971,142,Cluster-6
N0049,North Gateway #49,17.495936,78.745312,44,Cluster-1
N0050,South Port #50,17.236065,78.321907,83,Cluster-2
N0051,East End #51,17.247838,78.534275,159,Cluster-3
N0052,West Industrial #52,17.222442,78.707326,188,Cluster-4
N0053,Riverside #53,17.211769,78.469347,29,Cluster-5
N0054,Lakeview #54,17.534816,78.397859,84,Cluster-6
N0055,Metro Hub #55,17.45332,78.672571,187,Cluster-1
N0056,Airport Road #56,17.215775,78.392918,37,Cluster-2
N0057,Grand Square #57,17.25109,78.645668,103,Cluster-3
N0058,Innovation Zone #58,17.247853,78.675827,200,Cluster-4
N0059,Sunrise Colony #59,17.311808,78.481481,143,Cluster-5
N0060,Midtown #60,17.504363,78.420786,156,Cluster-6
N0061,Downtown #61,17.441032,78.744895,180,Cluster-1
N0062,Market Central #62,17.180493,78.386321,120,Cluster-2
N0063,Tech Park #63,17.286925,78.678563,133,Cluster-3
N0064,Cyber City #64,17.28024,78.659052,126,Cluster-4
N0065,Financial District #65,17.228537,78.505373,157,Cluster-5
N0066,Old Quarter #66,17.528084,78.345526,69,Cluster-6
N0067,Harbor View #67,17.480297,78.718327,112,Cluster-1
N0068,Green Hills #68,17.193179,78.44087,122,Cluster-2
N0069,North Gateway #69,17.275554,78.628452,28,Cluster-3
N0070,South Port #70,17.2487,78.646002,177,Cluster-4
N0071,East End #71,17.205153,78.510098,58,Cluster-5
N0072,West Industrial #72,17.493337,78.355922,53,Cluster-6
N0073,Riverside #73,17.462715,78.696033,155,Cluster-1
N0074,Lakeview #74,17.203542,78.385602,40,Cluster-2
N0075,Metro Hub #75,17.1932,78.626593,181,Cluster-3
N0076,Airport Road #76,17.2179,78.66243,158,Cluster-4
N0077,Grand Square #77,17.276289,78.522115,122,Cluster-5
N0078,Innovation Zone #78,17.531095,78.387552,140,Cluster-6
N0079,Sunrise Colony #79,17.413504,78.689069,137,Cluster-1
N0080,Midtown #80,17.209287,78.357769,49,Cluster-2
N0081,Downtown #81,17.275367,78.620215,68,Cluster-3
N0082,Market Central #82,17.280364,78.707082,138,Cluster-4
N0083,Tech Park #83,17.222616,78.546206,66,Cluster-5
N0084,Cyber City #84,17.516661,78.444518,147,Cluster-6
N0085,Financial District #85,17.448564,78.68427,42,Cluster-1
N0086,Old Quarter #86,17.194821,78.356133,63,Cluster-2
N0087,Harbor View #87,17.200442,78.604885,123,Cluster-3
N0088,Green Hills #88,17.283146,78.654475,68,Cluster-4
N0089,North Gateway #89,17.229934,78.548178,75,Cluster-5
